Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
1987,40208531,ÄPPLARÖ,Outdoor furniture,745.0,No old price,True,https://www.ikea.com/sa/en/p/aepplaroe-drop-leaf-table-outdoor-brown-stained-brown-40208531/,No,"        Drop-leaf table, outdoor,          140/200/260x78 cm",K Hagberg/M Hagberg,,72.0,78.0
2743,50304990,BRUSALI,Tables & desks,325.0,No old price,True,https://www.ikea.com/sa/en/p/brusali-corner-desk-brown-50304990/,No,"        Corner desk,          120x73 cm",IKEA of Sweden,73.0,73.0,120.0
2526,20398754,GRÖNLID,Sofas & armchairs,550.0,No old price,True,https://www.ikea.com/sa/en/p/groenlid-cover-for-2-seat-sofa-bed-section-sporda-natural-20398754/,Yes,        Cover for 2-seat sofa-bed section,Francis Cayouette,,,
2196,79265945,HAVSTA,"Sideboards, buffets & console tables",1950.0,No old price,True,https://www.ikea.com/sa/en/p/havsta-storage-combination-w-glass-doors-white-s79265945/,Yes,"        Storage combination w glass doors,          162x37x134 cm",IKEA of Sweden,37.0,134.0,162.0
2592,69111190,NORSBORG,Sofas & armchairs,1220.0,"SR 1,525",True,https://www.ikea.com/sa/en/p/norsborg-cover-for-corner-sofa-5-seat-finnsta-dark-grey-s69111190/,Yes,"        Cover for corner sofa, 5-seat",Ehlén Johansson,,,
1498,69221339,EKEDALEN / HENRIKSDAL,Chairs,1975.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-henriksdal-table-and-4-chairs-white-orrsta-light-grey-s69221339/,No,"        Table and 4 chairs,          120/180 cm",Ehlén Johansson/IKEA of Sweden,,,
1874,257953,GONATT,Nursery furniture,1095.0,No old price,True,https://www.ikea.com/sa/en/p/gonatt-cot-light-grey-00257953/,No,"        Cot,          60x120 cm",J Asshoff/H Brogård,,103.0,66.0
736,19057483,BESTÅ,Bookcases & shelving units,480.0,No old price,True,https://www.ikea.com/sa/en/p/besta-wall-cabinet-with-2-doors-lappviken-white-s19057483/,Yes,"        Wall cabinet with 2 doors,          60x22x128 cm",IKEA of Sweden,22.0,128.0,60.0
501,10265293,BILLY,Bookcases & shelving units,30.0,No old price,True,https://www.ikea.com/sa/en/p/billy-extra-shelf-white-10265293/,Yes,"        Extra shelf,          36x26 cm",IKEA of Sweden,26.0,,36.0
564,19231152,HEMNES,Bookcases & shelving units,2346.0,"SR 2,485",True,https://www.ikea.com/sa/en/p/hemnes-bookcase-black-brown-s19231152/,Yes,"        Bookcase,          229x197 cm",Carina Bengs,37.0,197.0,229.0
2307,99297484,FLOTTEBO,Sofas & armchairs,1596.0,"SR 1,995",True,https://www.ikea.com/sa/en/p/flottebo-sofa-bed-vissle-purple-s99297484/,Yes,"        Sofa-bed,          90 cm",C Halskov/H Dalsgaard,90.0,79.0,200.0
3121,79046991,BEKANT,Tables & desks,1834.0,"SR 2,590",True,https://www.ikea.com/sa/en/p/bekant-reception-desk-white-s79046991/,No,"        Reception desk,          160x80 120 cm",K Malmvall/E Lilja Löwenhielm,80.0,,
1361,60246080,JANINGE,Chairs,180.0,SR 225,True,https://www.ikea.com/sa/en/p/janinge-chair-yellow-60246080/,No,        Chair,John/Jonas/Petrus/Paul/Caroline,46.0,76.0,50.0
2570,19302328,VIMLE,Sofas & armchairs,775.0,No old price,True,https://www.ikea.com/sa/en/p/vimle-cover-for-2-seat-sofa-dalstorp-multicolour-s19302328/,Yes,        Cover for 2-seat sofa,Ehlén Johansson,,,
1344,90299029,MUREN,Chairs,1395.0,No old price,True,https://www.ikea.com/sa/en/p/muren-recliner-nordvalla-beige-90299029/,Yes,        Recliner,IKEA of Sweden,94.0,97.0,85.0
3442,20390574,STALLARP,TV & media furniture,45.0,No old price,True,https://www.ikea.com/sa/en/p/stallarp-leg-chrome-plated-20390574/,No,        Leg,Carl Öjerstam,4.0,10.0,4.0
1070,20334314,BILLSBRO,Cabinets & cupboards,15.0,No old price,True,https://www.ikea.com/sa/en/p/billsbro-handle-white-20334314/,No,"        Handle,          40 mm",H Preutz/A Fredriksson,,,
80,89305446,PLATSA,Beds,2600.5,"SR 2,880",True,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-10-doors-white-s89305446/,No,"        Bed frame with 10 doors,          143x244x223 cm",IKEA of Sweden,40.0,43.0,143.0
3489,79248588,PLATSA,Wardrobes,2296.0,"SR 2,870",True,https://www.ikea.com/sa/en/p/platsa-wardrobe-white-fonnes-white-s79248588/,No,"        Wardrobe,          240x57x251 cm",Ola Wihlborg/IKEA of Sweden,57.0,251.0,240.0
295,50282177,LACK,Bookcases & shelving units,19.0,No old price,True,https://www.ikea.com/sa/en/p/lack-wall-shelf-white-50282177/,Yes,"        Wall shelf,          30x26 cm",IKEA of Sweden,26.0,5.0,
3250,80035920,FÖRHÖJA,Trolleys,645.0,No old price,True,https://www.ikea.com/sa/en/p/foerhoeja-kitchen-trolley-birch-80035920/,No,"        Kitchen trolley,          100x43 cm",Nike Karlsson,,90.0,43.0
712,89283005,BROR,Bookcases & shelving units,670.0,No old price,True,https://www.ikea.com/sa/en/p/bror-shelving-unit-with-cabinets-black-s89283005/,No,"        Shelving unit with cabinets,          85x40x110 cm",IKEA of Sweden,40.0,110.0,85.0
3098,30252911,BEKANT,Tables & desks,700.0,No old price,True,https://www.ikea.com/sa/en/p/bekant-underframe-for-table-top-white-30252911/,Yes,"        Underframe for table top,          120x80 cm",K Malmvall/E Lilja Löwenhielm,,,80.0
2832,29297294,MELLTORP / NILSOVE,Tables & desks,889.0,SR 915,True,https://www.ikea.com/sa/en/p/melltorp-nilsove-table-and-2-chairs-white-rattan-white-s29297294/,No,"        Table and 2 chairs,          75x75 cm",Lisa Norinder/A Fredriksson/J Hultqvist/W Chong,,,75.0
2247,40266682,BOSNÄS,Sofas & armchairs,95.0,No old price,True,https://www.ikea.com/sa/en/p/bosnaes-footstool-with-storage-ransta-black-40266682/,Yes,        Footstool with storage,IKEA of Sweden,,36.0,36.0
964,60293566,STUBBARP,Cabinets & cupboards,35.0,No old price,True,https://www.ikea.com/sa/en/p/stubbarp-leg-black-brown-60293566/,Yes,        Leg,IKEA of Sweden,44.0,100.0,44.0
1220,90309721,NILSERIK,Chairs,195.0,No old price,True,https://www.ikea.com/sa/en/p/nilserik-standing-support-white-vissle-grey-90309721/,Yes,        Standing support,IKEA of Sweden,,,41.0
1057,29286865,BESTÅ / EKET,Cabinets & cupboards,1578.0,No old price,True,https://www.ikea.com/sa/en/p/besta-eket-cabinet-combination-for-tv-white-light-grey-red-s29286865/,Yes,"        Cabinet combination for TV,          300x42x210 cm",Jon Karlsson/IKEA of Sweden,42.0,210.0,300.0
2514,70306243,FÄRLÖV,Sofas & armchairs,195.0,No old price,True,https://www.ikea.com/sa/en/p/faerloev-cover-for-footstool-with-storage-flodafors-beige-70306243/,Yes,        Cover for footstool with storage,Francis Cayouette,,,
1161,79299016,BUSKBO,Chairs,675.0,No old price,True,https://www.ikea.com/sa/en/p/buskbo-armchair-rattan-djupvik-white-s79299016/,No,        Armchair,IKEA of Sweden/A Fredriksson/J Hultqvist/W Chong,63.0,42.0,72.0
2841,80362974,SLÄKT,Tables & desks,295.0,No old price,True,https://www.ikea.com/sa/en/p/slaekt-storage-box-with-castors-80362974/,No,"        Storage box with castors,          62x62x35 cm",Ebba Strandmark,53.0,35.0,62.0
805,80441556,TIMMERVIKEN,Cabinets & cupboards,100.0,No old price,True,https://www.ikea.com/sa/en/p/timmerviken-door-drawer-front-black-80441556/,No,"        Door/drawer front,          60x38 cm",804.415.56 The front may be used as a door or as a drawer front.You can choose to mount the door on the right or left side.The door keeps your belongings hidden and free from dust.To be completed with BESTÅ hinges if used as door. Sold separately.To be completed with BESTÅ drawer frame 60x25x40 cm and BESTÅ drawer runner if used as drawer front. Sold separately.May be completed with knobs or handles. Sold separately.Drill template for marking of hole positions for handles or knobs is sold separately.,,38.0,60.0
2442,69219505,VIMLE,Sofas & armchairs,1585.0,No old price,True,https://www.ikea.com/sa/en/p/vimle-2-seat-section-orrsta-black-blue-s69219505/,Yes,        2-seat section,Ehlén Johansson,98.0,80.0,141.0
1672,19306185,JONAXEL,Chests of drawers & drawer units,160.0,No old price,True,https://www.ikea.com/sa/en/p/jonaxel-frame-with-mesh-baskets-castors-s19306185/,No,"        Frame with mesh baskets/castors,          25x51x73 cm",IKEA of Sweden,51.0,73.0,25.0
2611,69130037,FLEKKE,Sofas & armchairs,2085.0,No old price,True,https://www.ikea.com/sa/en/p/flekke-day-bed-w-2-drawers-2-mattresses-black-brown-moshult-firm-s69130037/,Yes,"        Day-bed w 2 drawers/2 mattresses,          80x200 cm",IKEA of Sweden/K Hagberg/M Hagberg,,86.0,88.0
3399,19282919,BESTÅ,TV & media furniture,1570.0,No old price,True,https://www.ikea.com/sa/en/p/besta-storage-combination-w-glass-doors-black-brown-vassviken-white-clear-glass-s19282919/,Yes,"        Storage combination w glass doors,          120x40x128 cm",IKEA of Sweden/Marcus Arvonen,40.0,128.0,120.0
2676,20045205,SNIGLAR,Tables & desks,145.0,No old price,True,https://www.ikea.com/sa/en/p/sniglar-changing-table-beech-white-20045205/,No,"        Changing table,          72x53 cm",IKEA of Sweden,,87.0,53.0
1767,49102304,TROFAST,Children's furniture,195.0,No old price,True,https://www.ikea.com/sa/en/p/trofast-wall-storage-light-white-stained-pine-pine-white-s49102304/,No,"        Wall storage,          93x21x30 cm",Studio Copenhagen/Mia Lagerman,21.0,30.0,
3682,19385677,PAX,Wardrobes,2505.0,No old price,True,https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s19385677/,Yes,"        Wardrobe combination,          150x58x236 cm",Ehlén Johansson/Ola Wihlborg/IKEA of Sweden,58.0,236.0,150.0
2093,50405338,SJÄLLAND,Outdoor furniture,316.0,SR 395,True,https://www.ikea.com/sa/en/p/sjaelland-reclining-chair-outdoor-light-grey-foldable-dark-grey-50405338/,No,"        Reclining chair, outdoor",David Wahl,75.0,110.0,58.0
1510,99304781,LANEBERG / KARLJAN,Chairs,1195.0,No old price,True,https://www.ikea.com/sa/en/p/laneberg-karljan-table-and-4-chairs-white-dark-grey-dark-grey-s99304781/,No,"        Table and 4 chairs,          130/190x80 cm",K Hagberg/M Hagberg/Francis Cayouette,,,80.0
1178,10135659,MARIUS,Chairs,25.0,No old price,True,https://www.ikea.com/sa/en/p/marius-stool-black-10135659/,No,        Stool,Ola Wihlborg,,,40.0
2059,40391718,FRÖSÖN,Outdoor furniture,65.0,No old price,True,https://www.ikea.com/sa/en/p/froesoen-cover-for-seat-cushion-outdoor-dark-grey-40391718/,Yes,"        Cover for seat cushion,          62x62 cm",Eva Lilja Löwenhielm,62.0,,62.0
257,59297674,JONAXEL,Bookcases & shelving units,915.0,"SR 1,023",True,https://www.ikea.com/sa/en/p/jonaxel-frame-mesh-baskts-clths-rl-shlv-uts-s59297674/,No,"        Frame/mesh baskts/clths rl/shlv uts,          198x51x173 cm",IKEA of Sweden,51.0,173.0,198.0
3154,59001955,LINNMON / KRILLE,Tables & desks,385.0,No old price,True,https://www.ikea.com/sa/en/p/linnmon-krille-table-white-s59001955/,Yes,"        Table,          120x60 cm",IKEA of Sweden/Francis Cayouette,,74.0,60.0
1967,80336466,KROKHOLMEN,Outdoor furniture,175.0,No old price,True,https://www.ikea.com/sa/en/p/krokholmen-coffee-table-outdoor-beige-80336466/,No,"        Coffee table, outdoor",Marcus Arvonen,,44.0,
1894,80308699,TROFAST,Nursery furniture,55.0,No old price,True,https://www.ikea.com/sa/en/p/trofast-shelf-light-white-stained-pine-pine-80308699/,No,"        Shelf,          30 cm",Studio Copenhagen,,,30.0
1114,10281354,JANINGE,Café furniture,595.0,No old price,True,https://www.ikea.com/sa/en/p/janinge-bar-stool-grey-10281354/,No,"        Bar stool,          76 cm",John/Jonas/Petrus/Paul/Caroline,36.0,84.0,38.0
3488,39305745,PAX,Wardrobes,2265.0,No old price,True,https://www.ikea.com/sa/en/p/pax-wardrobe-white-mehamn-auli-s39305745/,No,"        Wardrobe,          200x44x236 cm",Ehlén Johansson/IKEA of Sweden,44.0,236.0,200.0
2528,29894377,KIVIK,Sofas & armchairs,6160.0,"SR 7,700",True,https://www.ikea.com/sa/en/p/kivik-3-seat-sofa-grann-with-chaise-longue-grann-bomstad-bomstad-black-s29894377/,No,        3-seat sofa,Ola Wihlborg,163.0,83.0,280.0
948,10273090,MÖLLARP,Cabinets & cupboards,12.0,No old price,True,https://www.ikea.com/sa/en/p/moellarp-knob-black-10273090/,No,"        Knob,          14 mm",K Hagberg/M Hagberg,25.0,,
2014,50312909,BUSSAN,Outdoor furniture,525.0,No old price,True,https://www.ikea.com/sa/en/p/bussan-beanbag-in-outdoor-grey-50312909/,No,"        Beanbag, in/outdoor",Anna Efverlund,,,67.0
411,69020473,BILLY / OXBERG,Bookcases & shelving units,2295.0,No old price,True,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-black-brown-s69020473/,Yes,"        Bookcase,          200x30x237 cm",IKEA of Sweden/Gillis Lundgren,30.0,237.0,200.0
238,19299726,VIMLE,Beds,7765.0,No old price,True,https://www.ikea.com/sa/en/p/vimle-corner-sofa-bed-5-seat-with-chaise-longue-dalstorp-multicolour-s19299726/,Yes,"        Corner sofa-bed, 5-seat",Ehlén Johansson/IKEA of Sweden,98.0,83.0,349.0
463,10334611,EKET,Bookcases & shelving units,75.0,No old price,True,https://www.ikea.com/sa/en/p/eket-underframe-birch-10334611/,No,"        Underframe,          70x35x10 cm",Jon Karlsson,34.0,10.0,69.0
1536,50402325,MÄSTERBY,Chairs,145.0,No old price,True,https://www.ikea.com/sa/en/p/maesterby-step-stool-brown-red-50402325/,No,        Step stool,Chris Martin,40.0,50.0,43.0
3349,80336433,GUBBARP,TV & media furniture,3.0,No old price,True,https://www.ikea.com/sa/en/p/gubbarp-knob-white-80336433/,Yes,"        Knob,          21 mm",H Preutz/A Fredriksson,27.0,,
3503,9303719,PAX,Wardrobes,1550.0,No old price,True,https://www.ikea.com/sa/en/p/pax-wardrobe-white-forsand-vikedal-s09303719/,No,"        Wardrobe,          150x38x236 cm",IKEA of Sweden/Ehlén Johansson,38.0,236.0,150.0
2512,59829111,POÄNG,Sofas & armchairs,375.0,No old price,True,https://www.ikea.com/sa/en/p/poaeng-footstool-birch-veneer-robust-glose-dark-brown-s59829111/,Yes,        Footstool,Noboru Nakamura,54.0,39.0,68.0
3027,89305173,NORDVIKEN / NORRARYD,Tables & desks,2535.0,"SR 2,795",True,https://www.ikea.com/sa/en/p/nordviken-norraryd-table-and-4-chairs-white-black-s89305173/,No,"        Table and 4 chairs,          152/223x95 cm",Nike Karlsson/Francis Cayouette,,,95.0
1494,50165079,BLÅMES,Chairs,375.0,No old price,True,https://www.ikea.com/sa/en/p/blames-highchair-with-tray-black-50165079/,No,        Highchair with tray,Tina Christensen,53.0,93.0,52.0
1609,70366798,SONGESAND,Chests of drawers & drawer units,695.0,No old price,True,https://www.ikea.com/sa/en/p/songesand-chest-of-6-drawers-white-70366798/,Yes,"        Chest of 6 drawers,          161x81 cm",IKEA of Sweden,50.0,81.0,161.0
3493,10308787,TRYSIL,Wardrobes,895.0,No old price,True,https://www.ikea.com/sa/en/p/trysil-wardrobe-white-mirror-glass-10308787/,No,"        Wardrobe,          79x61x202 cm",K Hagberg/M Hagberg,61.0,202.0,79.0
174,79253259,STUVA / FRITIDS,Beds,1990.0,No old price,True,https://www.ikea.com/sa/en/p/stuva-fritids-loft-bed-combo-w-3-drawers-2-doors-white-white-s79253259/,Yes,"        Loft bed combo w 3 drawers/2 doors,          207x99x182 cm",Ebba Strandmark/IKEA of Sweden,,182.0,
1487,19246097,MÖRBYLÅNGA / LEIFARNE,Chairs,3075.0,No old price,True,https://www.ikea.com/sa/en/p/moerbylanga-leifarne-table-and-4-chairs-brown-white-s19246097/,No,"        Table and 4 chairs,          140x85 cm",Mia Lagerman/S Lanneskog/J Marnell,,,
214,29266184,LIDHULT,Beds,7785.0,No old price,True,https://www.ikea.com/sa/en/p/lidhult-corner-sofa-bed-5-seat-lejde-grey-black-s29266184/,Yes,"        Corner sofa-bed, 5-seat",IKEA of Sweden/Henrik Preutz,98.0,102.0,294.0
1877,70248564,SUNDVIK,Nursery furniture,695.0,No old price,True,https://www.ikea.com/sa/en/p/sundvik-cot-grey-brown-70248564/,No,"        Cot,          60x120 cm",IKEA of Sweden,,85.0,67.0
157,9149879,VALLENTUNA,Beds,1160.0,"SR 1,450",True,https://www.ikea.com/sa/en/p/vallentuna-sofa-bed-module-hillared-dark-grey-s09149879/,Yes,        Sofa-bed module,Fredriksson/L Löwenhielm/Hilland,100.0,45.0,80.0
3615,89243929,PAX,Wardrobes,3885.0,No old price,True,https://www.ikea.com/sa/en/p/pax-wardrobe-white-fjellhamar-dark-bamboo-s89243929/,No,"        Wardrobe,          200x66x236 cm",IKEA of Sweden/Andreas Fredriksson/Ehlén Johansson,66.0,236.0,200.0
2215,385314,SANDARED,Sofas & armchairs,245.0,No old price,True,https://www.ikea.com/sa/en/p/sandared-pouffe-beige-00385314/,No,"        Pouffe,          45 cm",Synnöve Mork,,33.0,
1268,59135648,SÖDERHAMN,Chairs,1425.0,"SR 1,620",True,https://www.ikea.com/sa/en/p/soederhamn-armchair-finnsta-turquoise-s59135648/,Yes,        Armchair,Ola Wihlborg,99.0,83.0,105.0
152,39227837,UTÅKER,Beds,1285.0,No old price,True,https://www.ikea.com/sa/en/p/utaker-stackable-bed-with-2-mattresses-pine-moshult-firm-s39227837/,Yes,"        Stackable bed with 2 mattresses,          80x200 cm",IKEA of Sweden/Henrik Preutz,,2.0,83.0
1818,30128629,STUVA,Children's furniture,175.0,No old price,True,https://www.ikea.com/sa/en/p/stuva-bench-white-30128629/,No,"        Bench,          90x50x50 cm",Ebba Strandmark,50.0,50.0,90.0
2682,99014376,MELLTORP / ADDE,Tables & desks,359.0,No old price,True,https://www.ikea.com/sa/en/p/melltorp-adde-table-and-4-chairs-white-s99014376/,No,"        Table and 4 chairs,          125 cm",Marcus Arvonen/Lisa Norinder,,72.0,75.0
102,79129986,GJÖRA,Beds,1640.0,No old price,True,https://www.ikea.com/sa/en/p/gjoera-bed-frame-birch-leirsund-s79129986/,Yes,"        Bed frame,          140x200 cm",Monika Mulder/IKEA of Sweden,,,154.0
2465,30397080,GRÖNLID,Sofas & armchairs,295.0,No old price,True,https://www.ikea.com/sa/en/p/groenlid-cover-for-chaise-longue-section-ljungen-light-green-30397080/,Yes,        Cover for chaise longue section,Francis Cayouette,,,
874,40226790,UPPLEVA,Cabinets & cupboards,145.0,No old price,True,https://www.ikea.com/sa/en/p/uppleva-wall-bracket-for-tv-tilt-swivel-40226790/,No,"        Wall bracket for TV, tilt/swivel,          19-32 """,IKEA of Sweden,,,
650,90349005,EKET,Bookcases & shelving units,75.0,No old price,True,https://www.ikea.com/sa/en/p/eket-underframe-birch-90349005/,No,"        Underframe,          70x25x10 cm",Jon Karlsson,24.0,10.0,69.0
239,29257066,LIDHULT,Beds,4040.0,No old price,True,https://www.ikea.com/sa/en/p/lidhult-2-seat-sofa-bed-lejde-grey-black-s29257066/,Yes,        2-seat sofa-bed,IKEA of Sweden/Henrik Preutz,98.0,102.0,208.0
2396,20396260,GRÖNLID,Sofas & armchairs,170.0,No old price,True,https://www.ikea.com/sa/en/p/groenlid-cover-for-corner-section-inseros-white-20396260/,Yes,        Cover for corner section,Francis Cayouette,,,
2764,50409044,LISTERBY,Tables & desks,395.0,No old price,True,https://www.ikea.com/sa/en/p/listerby-side-table-brown-50409044/,No,"        Side table,          50 cm",Henrik Preutz,,56.0,
691,60294797,HANVIKEN,Bookcases & shelving units,50.0,No old price,True,https://www.ikea.com/sa/en/p/hanviken-drawer-front-black-brown-60294797/,Yes,"        Drawer front,          60x26 cm",Marcus Arvonen,,26.0,60.0
554,59277119,BILLY / BOTTNA,Bookcases & shelving units,235.0,No old price,True,https://www.ikea.com/sa/en/p/billy-bottna-bookcase-with-display-shelf-white-beige-s59277119/,Yes,"        Bookcase with display shelf,          40x28x202 cm",K Hagberg/M Hagberg,28.0,202.0,40.0
2634,50411990,GLADOM,Tables & desks,59.0,No old price,True,https://www.ikea.com/sa/en/p/gladom-tray-table-black-50411990/,Yes,"        Tray table,          45x53 cm",Chenyi Ke,,53.0,
2246,19257509,EKTORP,Sofas & armchairs,2345.0,No old price,True,https://www.ikea.com/sa/en/p/ektorp-3-seat-sofa-with-chaise-longue-lingbo-multicolour-s19257509/,Yes,        3-seat sofa,IKEA of Sweden,,88.0,252.0
3535,99096013,PAX,Wardrobes,2415.0,No old price,True,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-undredal-black-s99096013/,No,"        Wardrobe,          200x60x236 cm",IKEA of Sweden/Ebba Strandmark/Ehlén Johansson,60.0,236.0,200.0
2389,30417870,VALLENTUNA,Sofas & armchairs,116.0,SR 145,True,https://www.ikea.com/sa/en/p/vallentuna-cover-for-seat-module-with-storage-orrsta-olive-green-30417870/,Yes,        Cover for seat module with storage,IKEA of Sweden,,,
3434,60347507,ENERYDA,TV & media furniture,35.0,No old price,True,https://www.ikea.com/sa/en/p/eneryda-knob-brass-colour-60347507/,Yes,"        Knob,          35 mm",Francis Cayouette,,,
912,29300852,BESTÅ,Cabinets & cupboards,965.0,No old price,True,https://www.ikea.com/sa/en/p/besta-storage-combination-w-glass-doors-grey-stained-walnut-effect-lappviken-grey-stained-walnut-eff-clear-glass-s29300852/,Yes,"        Storage combination w glass doors,          60x42x193 cm",Marcus Arvonen/IKEA of Sweden,42.0,193.0,60.0
44,30135658,GLENN,Bar furniture,445.0,No old price,True,https://www.ikea.com/sa/en/p/glenn-bar-stool-white-chrome-plated-30135658/,Yes,"        Bar stool,          77 cm",Marcus Arvonen,52.0,100.0,50.0
45,49297274,NORRÅKER / NORRÅKER,Bar furniture,1266.0,"SR 1,385",True,https://www.ikea.com/sa/en/p/norraker-norraker-bar-table-and-2-bar-stools-birch-black-s49297274/,No,"        Bar table and 2 bar stools,          74 cm",J Karlsson/N Karlsson,,,
3583,29286894,PAX,Wardrobes,1600.0,No old price,True,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-forsand-black-brown-stained-ash-effect-s29286894/,Yes,"        Wardrobe,          100x60x201 cm",IKEA of Sweden/Ehlén Johansson,60.0,201.0,100.0
332,9017826,BILLY,Bookcases & shelving units,345.0,No old price,True,https://www.ikea.com/sa/en/p/billy-bookcase-white-s09017826/,Yes,"        Bookcase,          240x28x106 cm",Gillis Lundgren,28.0,106.0,240.0
1075,70370352,MOSSARYD,Cabinets & cupboards,29.0,No old price,True,https://www.ikea.com/sa/en/p/mossaryd-drop-handle-stainless-steel-colour-70370352/,No,"        Drop handle,          49 mm",Francis Cayouette,18.0,,
2384,19278502,GRÖNLID,Sofas & armchairs,5040.0,No old price,True,https://www.ikea.com/sa/en/p/groenlid-3-seat-sofa-bed-with-chaise-longue-ljungen-light-green-s19278502/,Yes,        3-seat sofa-bed,IKEA of Sweden/Francis Cayouette/Ehlén Johansson,164.0,104.0,277.0
266,50419972,JONAXEL,Bookcases & shelving units,175.0,No old price,True,https://www.ikea.com/sa/en/p/jonaxel-shelving-unit-white-50419972/,No,"        Shelving unit,          80x38x160 cm",IKEA of Sweden,38.0,160.0,80.0
3688,89330653,PAX / MEHAMN/AULI,Wardrobes,2045.0,No old price,True,https://www.ikea.com/sa/en/p/pax-mehamn-auli-wardrobe-combination-black-brown-mirror-glass-s89330653/,No,"        Wardrobe combination,          200x66x236 cm",IKEA of Sweden/Ehlén Johansson,66.0,236.0,200.0
3574,89227873,PAX,Wardrobes,1499.0,No old price,True,https://www.ikea.com/sa/en/p/pax-wardrobe-white-s89227873/,Yes,"        Wardrobe,          150x58x201 cm",Ehlén Johansson/IKEA of Sweden,58.0,201.0,150.0
2795,70367444,SONGESAND,Tables & desks,155.0,No old price,True,https://www.ikea.com/sa/en/p/songesand-bedside-table-brown-70367444/,No,"        Bedside table,          42x40 cm",IKEA of Sweden,40.0,55.0,42.0
1029,79286896,BEKANT,Cabinets & cupboards,1200.0,No old price,True,https://www.ikea.com/sa/en/p/bekant-storage-unit-with-smart-lock-mesh-black-s79286896/,Yes,"        Storage unit with smart lock,          41x101 cm",IKEA of Sweden/Eva Lilja Löwenhielm,45.0,101.0,41.0
3001,340759,EKEDALEN,Tables & desks,995.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-bar-table-white-00340759/,No,"        Bar table,          120x80 cm",Ehlén Johansson,,105.0,80.0
798,89276590,ALGOT,Bookcases & shelving units,245.0,SR 345,True,https://www.ikea.com/sa/en/p/algot-wall-upright-mesh-baskets-white-s89276590/,No,"        Wall upright/mesh baskets,          65x41x197 cm",Francis Cayouette,41.0,197.0,65.0
58,30446373,SLATTUM,Beds,595.0,No old price,True,https://www.ikea.com/sa/en/p/slattum-upholstered-bed-frame-knisa-light-grey-30446373/,Yes,"        Upholstered bed frame,          140x200 cm",David Wahl,,,144.0
2010,9227532,ÄPPLARÖ,Outdoor furniture,1588.0,No old price,True,https://www.ikea.com/sa/en/p/aepplaroe-2-seat-modular-sofa-outdoor-brown-stained-kungsoe-white-white-s09227532/,Yes,"        2-seat modular sofa, outdoor,          160x80x73 cm",IKEA of Sweden/K Hagberg/M Hagberg,80.0,73.0,160.0
2751,10455410,KORNSJÖ,Tables & desks,745.0,No old price,True,https://www.ikea.com/sa/en/p/kornsjoe-cabinet-with-mirror-black-10455410/,No,"        Cabinet with mirror,          70x47 cm",Ebba Strandmark,47.0,187.0,70.0
3070,79288032,MÖRBYLÅNGA / TOSSBERG,Tables & desks,5465.0,No old price,True,https://www.ikea.com/sa/en/p/moerbylanga-tossberg-table-and-6-armchairs-oak-veneer-brown-stained-metal-grey-s79288032/,No,"        Table and 6 armchairs,          220x100 cm",S Lanneskog/J Marnell/IKEA of Sweden,,,100.0
1964,324561,TOSTERÖ,Outdoor furniture,79.0,No old price,True,https://www.ikea.com/sa/en/p/tosteroe-parasol-cover-black-00324561/,No,"        Parasol cover,          220 cm",IKEA of Sweden,,,
1545,9252197,INGATORP / INGATORP,Chairs,3225.0,No old price,True,https://www.ikea.com/sa/en/p/ingatorp-ingatorp-table-and-4-chairs-black-s09252197/,No,"        Table and 4 chairs,          100/155 cm",Ebba Strandmark/Carina Bengs,,74.0,87.0
1228,59197702,SVENBERTIL,Chairs,245.0,No old price,True,https://www.ikea.com/sa/en/p/svenbertil-chair-white-ernfrid-birch-s59197702/,No,        Chair,Mia Lagerman,51.0,85.0,48.0
2127,20386505,SJÄLLAND,Outdoor furniture,356.0,SR 445/2 pack,True,https://www.ikea.com/sa/en/p/sjaelland-table-top-outdoor-light-brown-20386505/,Yes,"        Table top, outdoor,          85x72 cm",David Wahl,,,72.0
776,79248319,IVAR,Bookcases & shelving units,440.0,No old price,True,https://www.ikea.com/sa/en/p/ivar-2-sections-shelves-pine-s79248319/,No,"        2 sections/shelves,          134x30x179 cm",IKEA of Sweden,30.0,179.0,134.0
2114,50365361,MAMMUT,Outdoor furniture,29.0,No old price,True,https://www.ikea.com/sa/en/p/mammut-childrens-stool-in-outdoor-orange-50365361/,No,        Children's stool,M Kjelstrup/A Östgaard,,,35.0
2696,60306494,PÅHL,Tables & desks,125.0,No old price,True,https://www.ikea.com/sa/en/p/pahl-desk-top-shelf-white-green-60306494/,No,"        Desk top shelf,          64x60 cm",S Fager/J Jelinek,17.0,60.0,64.0
3063,60247027,GAMLEBY,Tables & desks,1295.0,No old price,True,https://www.ikea.com/sa/en/p/gamleby-gateleg-table-light-antique-stain-grey-60247027/,No,"        Gateleg table,          67/134/201x78 cm",IKEA of Sweden,,74.0,78.0
